Avg Turn Time,Winner,Depth
0.05,MonteCarlo,1
0.05,MonteCarlo,1
0.05,MonteCarlo,1
0.05,MonteCarlo,1
0.05,MonteCarlo,1
0.05,Minimax,1
0.05,MonteCarlo,1
0.05,MonteCarlo,1
0.05,MonteCarlo,1
0.05,MonteCarlo,1
0.05,MonteCarlo,1
0.05,MonteCarlo,1
0.05,MonteCarlo,1
0.05,MonteCarlo,1
0.05,MonteCarlo,1
0.05,MonteCarlo,1
0.05,MonteCarlo,1
0.05,MonteCarlo,1
0.05,MonteCarlo,1
0.05,MonteCarlo,1
0.6,Draw,2
0.6,MonteCarlo,2
0.6,Minimax,2
0.6,MonteCarlo,2
0.6,Minimax,2
0.6,Minimax,2
0.6,MonteCarlo,2
0.6,Minimax,2
0.6,Minimax,2
0.6,MonteCarlo,2
0.6,Minimax,2
0.6,MonteCarlo,2
0.6,Minimax,2
0.6,MonteCarlo,2
0.6,MonteCarlo,2
0.6,MonteCarlo,2
0.6,MonteCarlo,2
0.6,Minimax,2
0.6,Minimax,2
0.6,Minimax,2
16.9,Minimax,3
16.9,Minimax,3
16.9,Minimax,3
16.9,Minimax,3
16.9,Minimax,3
